Question,label
What are the symptoms of Shingles ?,0
How many people are affected by Czech dysplasia ?,0
what research (or clinical trials) is being done for Parathyroid Cancer ?,0
What is (are) dihydropyrimidine dehydrogenase deficiency ?,0
What is the outlook for Acute Disseminated Encephalomyelitis ?,0
What are the stages of Retinoblastoma ?,0
What is (are) persistent Mllerian duct syndrome ?,0
How many people are affected by autosomal dominant hypocalcemia ?,0
What is (are) Juvenile amyotrophic lateral sclerosis ?,0
What are the symptoms of Mycobacterium Malmoense ?,0
What are the symptoms of Sertoli cell-only syndrome ?,0
What to do for Treatment Methods for Kidney Failure: Peritoneal Dialysis ?,0
What is (are) Mulibrey Nanism ?,0
What is (are) Atypical Chronic Myelogenous Leukemia ?,0
What are the symptoms of Focal dystonia ?,0
What is (are) Ullrich congenital muscular dystrophy ?,0
Do you have information about Child Mental Health,0
What is (are) Notalgia paresthetica ?,0
Do you have information about Flu Shot,0
What are the symptoms of Osteoarthritis ?,0
What are the genetic changes related to Schinzel-Giedion syndrome ?,0
what research (or clinical trials) is being done for Motor Neuron Diseases ?,0
Who is at risk for Peripheral Artery Disease? ?,0
What is (are) Osteopetrosis autosomal recessive 2 ?,0
What are the symptoms of Osteogenesis imperfecta type I ?,0
What are the treatments for familial porencephaly ?,0
Do you have information about Clinical Trials,0
What is (are) Heart Attack ?,0
What causes Pineal cyst ?,0
What are the treatments for primary spontaneous pneumothorax ?,0
What is (are) Progressive multifocal leukoencephalopathy ?,0
What is (are) Porencephaly ?,0
What are the symptoms of Hyperglycerolemia ?,0
What are the genetic changes related to primary hyperoxaluria ?,0
What are the symptoms of Jung Wolff Back Stahl syndrome ?,0
What causes Overview of Kidney Disease in Children ?,0
What are the treatments for Neuromyelitis Optica ?,0
What are the symptoms of De Barsy syndrome ?,0
How to prevent Kidney Disease ?,0
What are the genetic changes related to spinal muscular atrophy with progressive myoclonic epilepsy ?,0
What is the outlook for Prosopagnosia ?,0
What are the genetic changes related to acromicric dysplasia ?,0
What are the symptoms of Alkhurma Hemorrhagic Fever (AHF) ?,0
Is Fragile X syndrome inherited ?,0
What is the outlook for Hemifacial Spasm ?,0
What causes Lipedema ?,0
What is the outlook for Trigeminal Neuralgia ?,0
Is VACTERL association inherited ?,0
Is SYNGAP1-related intellectual disability inherited ?,0
What is (are) Coronary Heart Disease Risk Factors ?,0
What are the treatments for Unverricht-Lundborg disease ?,0
What is (are) congenital afibrinogenemia ?,0
What causes Sneddon syndrome ?,0
What are the treatments for X-linked thrombocytopenia ?,0
What are the stages of Ovarian Germ Cell Tumors ?,0
What are the treatments for Benign schwannoma ?,0
What are the genetic changes related to SADDAN ?,0
What are the treatments for X-linked infantile spasm syndrome ?,0
Is Prader-Willi syndrome inherited ?,0
What is the outlook for Periventricular Leukomalacia ?,0
What is (are) Antisynthetase syndrome ?,0
What are the symptoms of Acute alcohol sensitivity ?,0
What is (are) Turner Syndrome ?,0
What are the treatments for Adult Hodgkin Lymphoma ?,0
What is (are) Bethlem myopathy ?,0
Is Paget disease of bone inherited ?,0
What are the symptoms of Premature aging Okamoto type ?,0
What is (are) Childhood Central Nervous System Germ Cell Tumors ?,0
What is (are) isolated lissencephaly sequence ?,0
What is (are) von Willebrand disease ?,0
How many people are affected by Denys-Drash syndrome ?,0
What is (are) Hypoaldosteronism ?,0
What causes Insomnia ?,0
What causes Immunodeficiency with hyper IgM type 1 ?,0
What is (are) Heart Attack ?,0
